acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z
0.168365478515625, -0.329010009765625, 0.053619384765625, -0.02838134765625, 0.012451171875, 0.0145263671875
0.1824951171875, -0.32586669921875, 0.06756591796875, -0.024017333984375, 0.011993408203125, 0.01513671875
0.1942138671875, -0.32525634765625, 0.053619384765625, -0.009246826171875, 0.010894775390625, 0.0130615234375
0.138702392578125, -0.319549560546875, 0.015960693359375, 0.0068359375, 0.008209228515625, 0.001983642578125
0.08905029296875, -0.297882080078125, 0.005645751953125, 0.00994873046875, 0.004608154296875, -0.00067138671875
0.055450439453125, -0.273101806640625, -0.000396728515625, 0.015045166015625, -0.0030517578125, -0.003448486328125
0.0543212890625, -0.257080078125, -0.022979736328125, 0.015655517578125, -0.00653076171875, -0.004913330078125
0.065521240234375, -0.2626953125, -0.03338623046875, 0.013580322265625, -0.006011962890625, -0.00469970703125
0.1007080078125, -0.26568603515625, -0.019805908203125, 0.0052490234375, -0.003143310546875, -0.0025634765625
0.15740966796875, -0.323028564453125, 0.009857177734375, -0.00189208984375, -0.00323486328125, -0.0015869140625
0.176025390625, -0.30938720703125, 0.081939697265625, -0.00640869140625, -0.003570556640625, 0.0032958984375
0.179412841796875, -0.276153564453125, 0.0404052734375, 0.0233154296875, 0.044158935546875, 0.026641845703125
0.182891845703125, -0.26904296875, 0.0423583984375, 0.027099609375, 0.043701171875, 0.0238037109375
0.17138671875, -0.26727294921875, 0.03155517578125, 0.037933349609375, 0.040924072265625, 0.014190673828125
0.156219482421875, -0.25469970703125, -0.046966552734375, 0.0416259765625, 0.0423583984375, 0.019561767578125
0.1669921875, -0.2508544921875, -0.05462646484375, 0.0361328125, 0.04736328125, 0.02191162109375
0.191650390625, -0.2408447265625, -0.0306396484375, 0.026214599609375, 0.0467529296875, 0.019683837890625
0.149627685546875, -0.249786376953125, 0.0093994140625, 0.03411865234375, 0.01300048828125, 0.00604248046875
0.17962646484375, -0.2109375, -0.04156494140625, 0.01617431640625, 0.037261962890625, 0.00604248046875
0.17138671875, -0.20428466796875, -0.053863525390625, 0.01556396484375, 0.03558349609375, 0.0020751953125

0.1932373046875, -0.272552490234375, 0.0692138671875, -0.06622314453125, 0.00006103515625, -0.0069580078125
0.126708984375, -0.31402587890625, 0.093902587890625, -0.07025146484375, -0.017730712890625, -0.015533447265625
0.083831787109375, -0.317657470703125, 0.126678466796875, -0.069427490234375, -0.01165771484375, -0.01385498046875
0.152496337890625, -0.323211669921875, 0.108489990234375, -0.04840087890625, 0.0147705078125, 0.016265869140625
0.183258056640625, -0.317413330078125, 0.0760498046875, -0.039825439453125, 0.016326904296875, 0.01605224609375
0.18768310546875, -0.320831298828125, 0.05914306640625, -0.036407470703125, 0.01873779296875, 0.0111083984375
0.1324462890625, -0.33331298828125, 0.089935302734375, -0.022674560546875, 0.005645751953125, 0.0008544921875
0.102020263671875, -0.33831787109375, 0.098358154296875, -0.01727294921875, 0.004730224609375, 0.00048828125
0.08990478515625, -0.328399658203125, 0.111541748046875, -0.007080078125, 0.006988525390625, 0.0003662109375
0.07122802734375, -0.315765380859375, 0.11993408203125, 0.011871337890625, 0.003326416015625, -0.00128173828125
0.072540283203125, -0.309661865234375, 0.111724853515625, 0.016082763671875, 0.001556396484375, -0.00091552734375
0.08599853515625, -0.281524658203125, 0.102569580078125, 0.019866943359375, 0.00079345703125, 0.000701904296875
0.115814208984375, -0.2828369140625, 0.066314697265625, 0.027374267578125, -0.00091552734375, -0.001220703125
